scratched,name,number,name,number,started_at,value,starting_price,amount,placement
f,racing.com park,3,miss sav,8,2019-04-26 11:34:26.871968,550,0,11699,-1
f,racing.com park,3,miss sav,8,2019-04-26 11:34:26.871968,480,0,18199,-1
f,racing.com park,3,miss sav,8,2019-04-26 11:34:26.871968,550,0,11699,-1
f,racing.com park,3,miss sav,8,2019-04-26 11:34:26.871968,480,0,18199,-1
f,racing.com park,3,miss sav,8,2019-04-26 11:34:26.871968,550,0,11699,-1
f,racing.com park,3,miss sav,8,2019-04-26 11:34:26.871968,550,0,11699,-1
f,racing.com park,3,miss sav,8,2019-04-26 11:34:26.871968,480,0,18199,-1
f,racing.com park,3,miss sav,8,2019-04-26 11:34:26.871968,550,0,11699,-1
f,racing.com park,3,miss sav,8,2019-04-26 11:34:26.871968,550,0,11699,-1
f,racing.com park,7,skelton,2,2019-04-26 11:34:26.871968,550,0,11699,-1
f,racing.com park,7,skelton,2,2019-04-26 11:34:26.871968,550,0,11699,-1
f,racing.com park,7,skelton,2,2019-04-26 11:34:26.871968,550,0,11699,-1
f,racing.com park,7,okie,5,2019-04-26 11:34:26.871968,2300,0,6399,-1
f,racing.com park,7,okie,5,2019-04-26 11:34:26.871968,2600,0,16599,-1
f,racing.com park,7,okie,5,2019-04-26 11:34:26.871968,2600,0,16599,-1
f,racing.com park,7,okie,5,2019-04-26 11:34:26.871968,2600,0,16599,-1
f,racing.com park,7,okie,5,2019-04-26 11:34:26.871968,2600,0,10599,-1
f,racing.com park,7,okie,5,2019-04-26 11:34:26.871968,2700,0,14899,-1
f,racing.com park,7,okie,5,2019-04-26 11:34:26.871968,2600,0,16599,-1
f,racing.com park,7,okie,5,2019-04-26 11:34:26.871968,2600,0,10599,-1
f,racing.com park,7,okie,5,2019-04-26 11:34:26.871968,2300,0,6399,-1
f,racing.com park,7,okie,5,2019-04-26 11:34:26.871968,2600,0,16599,-1
f,racing.com park,7,okie,5,2019-04-26 11:34:26.871968,2700,0,14899,-1
f,racing.com park,7,okie,5,2019-04-26 11:34:26.871968,2600,0,16599,-1
f,racing.com park,7,okie,5,2019-04-26 11:34:26.871968,2600,0,16599,-1
f,racing.com park,7,okie,5,2019-04-26 11:34:26.871968,2600,0,10599,-1
f,racing.com park,7,okie,5,2019-04-26 11:34:26.871968,2300,0,6399,-1
f,racing.com park,7,okie,5,2019-04-26 11:34:26.871968,2600,0,16599,-1
f,racing.com park,7,okie,5,2019-04-26 11:34:26.871968,2700,0,14899,-1
f,racing.com park,7,okie,5,2019-04-26 11:34:26.871968,2600,0,16599,-1
f,rockhampton,7,maeve in manhattan,8,2019-04-26 11:34:26.871968,950,0,9899,-1
f,rockhampton,7,maeve in manhattan,8,2019-04-26 11:34:26.871968,1000,0,18799,-1
f,rockhampton,7,maeve in manhattan,8,2019-04-26 11:34:26.871968,950,0,9899,-1
f,rockhampton,7,maeve in manhattan,8,2019-04-26 11:34:26.871968,1000,0,18799,-1
f,rockhampton,7,maeve in manhattan,8,2019-04-26 11:34:26.871968,950,0,9899,-1
f,rockhampton,7,maeve in manhattan,8,2019-04-26 11:34:26.871968,1000,0,18799,-1
